Title,Date
"The OA: Parte 1: Capítulo 2: Novo Colosso","16/05/2019"
"The OA: Parte 1: Capítulo 1: O retorno","16/05/2019"
"Calibre","15/05/2019"
"Amor além da vida","15/05/2019"
"The Sinner: The Sinner: Cora: Parte VIII","14/05/2019"
"The Sinner: The Sinner: Cora: Parte VII","14/05/2019"
"The Sinner: The Sinner: Cora: Parte VI","14/05/2019"
"30 dias de noite","14/05/2019"
"The Sinner: The Sinner: Cora: Parte V","14/05/2019"
"The Sinner: The Sinner: Cora: Parte IV","14/05/2019"
"The Sinner: The Sinner: Cora: Parte III","14/05/2019"
"The Sinner: The Sinner: Cora: Parte II","14/05/2019"
"The Sinner: The Sinner: Cora: Parte I","14/05/2019"
"Ele Está Lá Fora","13/05/2019"
"A Lenda de Tarzan","13/05/2019"
"A Origem","13/05/2019"
"Movimento Tiny House: Volume 1: Tiny para sempre","12/05/2019"
"Lucifer: Temporada 4: Quem é o novo rei do inferno?","10/05/2019"
"Lucifer: Temporada 4: Salvem Lucifer","10/05/2019"
"Rua Cloverfield, 10","09/05/2019"
"Lucifer: Temporada 4: Namorado muito ruim","09/05/2019"
"Lucifer: Temporada 4: O diabo é aquilo que faz","09/05/2019"
"Lucifer: Temporada 4: Calças de orgia para trabalhar","09/05/2019"
"Lucifer: Temporada 4: Expirar ereto","09/05/2019"
"Lucifer: Temporada 4: O assunto é Eva","09/05/2019"
"Eu sou a lenda","08/05/2019"
"Lucifer: Temporada 4: Homens de pouca fé, pai","08/05/2019"
"Lucifer: Temporada 4: Alguém andou lendo o Inferno de Dante","08/05/2019"
"Lucifer: Temporada 4: Está tudo certo","08/05/2019"
"Jogo do Dinheiro","07/05/2019"
"Os Vingadores - The Avengers","07/05/2019"
"Vingadores: Era de Ultron","03/05/2019"
"Magnólia","28/04/2019"
"Mogli - Entre Dois Mundos","28/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: Universo Zero","26/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: Ciência ou arte","26/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: As asas da borboleta","25/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: É e não é","25/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: Eu não entrarei em casa","25/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: O beijo","25/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: Eu não deveria conhecido ele","25/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: Eles não se conhecerão","25/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: A chave","25/04/2019"
"Se eu não tivesse te conhecido: Temporada 1: Se eu não tivesse te conhecido","25/04/2019"
"Estrada Sem Lei","22/04/2019"
"The Cloverfield Paradox","21/04/2019"
"The Silence","20/04/2019"
"Superlópez","20/04/2019"
"Minimalism: A Documentary About the Important Things","16/04/2019"
"Guerra contra Aliens","15/04/2019"
"Osmosis: Temporada 1: Alma gêmea","14/04/2019"
"Osmosis: Temporada 1: O teste","13/04/2019"
"Black Summer: Temporada 1: Fluxo humano","13/04/2019"
"O Date Perfeito","13/04/2019"
"No escuro da floresta","12/04/2019"
"Heal - O Poder da Mente","10/04/2019"
"12 Horas Para Sobreviver: O Ano da Eleição","06/04/2019"
"The Virgin Queen: Parte 1","05/04/2019"
"Cubo","05/04/2019"
"Poseidon","05/04/2019"
"GANTZ:O","05/04/2019"
"O Pacote","01/04/2019"
"Tumba Aberta","30/03/2019"
"The Witness","29/03/2019"
"Advantageous","23/03/2019"
"The Umbrella Academy: Temporada 1: A gente só se encontra em casamentos e funerais","22/03/2019"
"O Menino que Descobriu o Vento","21/03/2019"
"Anon","17/03/2019"
"Truques da Mente: Temporada 5: Senso comum","17/03/2019"
"The Invitation","16/03/2019"
"Dirty John - O Golpe do Amor: Temporada 1: Sonhos alcançáveis","16/03/2019"
"Operação Fronteira","16/03/2019"
"A Menina Índigo","09/03/2019"
"A Frequência Kirlian: Temporada 1: O rei do Natal","05/03/2019"
"A Frequência Kirlian: Temporada 1: Uma nova cor","05/03/2019"
"A Frequência Kirlian: Temporada 1: Mestres da noite","05/03/2019"
"A Frequência Kirlian: Temporada 1: O país de abril","05/03/2019"
"Derren Brown: Sacrifice","04/03/2019"
"Seu Filho","04/03/2019"
"The Ballad of Buster Scruggs","26/02/2019"
"ROMA","25/02/2019"
"Close","24/02/2019"
"Predestinados","24/02/2019"
"Derren Brown: The Push","22/02/2019"
"Yucatán","18/02/2019"
"Mara","15/02/2019"
"Bordertown: Temporada 1: A casa de bonecas - Parte 1","12/02/2019"
"Um Cadáver para Sobreviver","12/02/2019"
"A Senhora da Van","11/02/2019"
"22 de Julho","10/02/2019"
"Ordem na Casa com Marie Kondo: Temporada 1: A ordem traz felicidade","08/02/2019"
"Legítimo Rei","07/02/2019"
"Você: Temporada 1: Vivendo com o inimigo","07/02/2019"
"IO","05/02/2019"
"O labirinto do fauno","04/02/2019"
"Corpo Fechado","04/02/2019"
"Cam","03/02/2019"
"Titãs: Temporada 1: Rapina e Columba","03/02/2019"
"Titãs: Temporada 1: Titãs","02/02/2019"
"A Maldição da Residência Hill: Temporada 1: O silêncio repousa soberano","28/01/2019"
"A Maldição da Residência Hill: Temporada 1: Pesadelo","27/01/2019"
"A Maldição da Residência Hill: Temporada 1: Marcas de uso","27/01/2019"
"A Maldição da Residência Hill: Temporada 1: Eulogia","27/01/2019"
